Ka           t0         t1         t2         t3         t4         t5
0010 +4.989e+00 +4.261e+00 +3.904e+00 +3.809e+00 +3.739e+00 +3.666e+00
0020 +5.484e+00 +4.696e+00 +4.445e+00 +4.285e+00 +4.222e+00 +4.172e+00
0030 +5.806e+00 +5.105e+00 +4.847e+00 +4.734e+00 +4.653e+00 +4.604e+00
0040 +6.303e+00 +5.528e+00 +5.269e+00 +5.133e+00 +5.043e+00 +5.039e+00
0050 +6.576e+00 +5.859e+00 +5.613e+00 +5.483e+00 +5.434e+00 +5.409e+00
0060 +6.856e+00 +6.179e+00 +5.916e+00 +5.841e+00 +5.783e+00 +5.778e+00
0070 +7.229e+00 +6.486e+00 +6.267e+00 +6.177e+00 +6.159e+00 +6.150e+00
0080 +7.480e+00 +6.821e+00 +6.628e+00 +6.535e+00 +6.519e+00 +6.507e+00
0090 +7.811e+00 +7.158e+00 +6.947e+00 +6.908e+00 +6.895e+00 +6.937e+00
0100 +8.158e+00 +7.527e+00 +7.341e+00 +7.295e+00 +7.323e+00 +7.372e+00
0110 +8.481e+00 +7.892e+00 +7.745e+00 +7.715e+00 +7.763e+00 +7.822e+00
0120 +8.911e+00 +8.307e+00 +8.174e+00 +8.208e+00 +8.268e+00 +8.364e+00
0130 +9.338e+00 +8.760e+00 +8.668e+00 +8.704e+00 +8.818e+00 +8.961e+00
0140 +9.829e+00 +9.275e+00 +9.233e+00 +9.314e+00 +9.485e+00 +9.674e+00
0150 +1.049e+01 +9.916e+00 +9.872e+00 +1.002e+01 +1.023e+01 +1.050e+01
0160 +1.122e+01 +1.058e+01 +1.066e+01 +1.090e+01 +1.120e+01 +1.151e+01
0170 +1.216e+01 +1.155e+01 +1.171e+01 +1.202e+01 +1.242e+01 +1.289e+01
0180 +1.347e+01 +1.278e+01 +1.305e+01 +1.351e+01 +1.422e+01 +1.505e+01
0182 +1.386e+01 +1.307e+01 +1.341e+01 +1.391e+01 +1.470e+01 +1.564e+01
0184 +1.409e+01 +1.337e+01 +1.372e+01 +1.439e+01 +1.525e+01 +1.632e+01
0186 +1.455e+01 +1.375e+01 +1.417e+01 +1.489e+01 +1.582e+01 +1.715e+01
0188 +1.483e+01 +1.421e+01 +1.455e+01 +1.549e+01 +1.659e+01 +1.835e+01
0190 +1.541e+01 +1.467e+01 +1.512e+01 +1.611e+01 +1.759e+01 +1.994e+01
0192 +1.597e+01 +1.513e+01 +1.563e+01 +1.679e+01 +1.869e+01 +2.207e+01
0194 +1.671e+01 +1.569e+01 +1.636e+01 +1.766e+01 +2.023e+01 +4.277e+01
0196 +1.741e+01 +1.627e+01 +1.716e+01 +1.875e+01 +2.261e+01 +4.277e+01
0198 +1.841e+01 +1.697e+01 +1.821e+01 +2.046e+01 +4.277e+01 +4.277e+01
0200 +1.969e+01 +1.787e+01 +1.938e+01 +2.313e+01 +4.277e+01 +4.277e+01
0202 +2.093e+01 +1.889e+01 +2.130e+01 +4.277e+01 +4.277e+01 +4.277e+01
0204 +2.372e+01 +2.070e+01 +2.501e+01 +4.277e+01 +4.277e+01 +4.277e+01
0206 +4.277e+01 +2.437e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0208 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0210 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0212 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0214 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
