Ka           t0
0010 +3.636e+00
0020 +3.906e+00
0030 +4.093e+00
0040 +4.311e+00
0050 +4.505e+00
0060 +4.698e+00
0070 +4.896e+00
0080 +5.094e+00
0090 +5.277e+00
0100 +5.466e+00
0110 +5.667e+00
0120 +5.831e+00
0130 +6.038e+00
0140 +6.217e+00
0150 +6.389e+00
0160 +6.579e+00
0170 +6.752e+00
0180 +6.934e+00
0190 +7.106e+00
0200 +7.297e+00
0210 +7.466e+00
0220 +7.649e+00
0230 +7.823e+00
0240 +7.998e+00
0250 +8.165e+00
0260 +8.348e+00
0270 +8.526e+00
0280 +8.697e+00
0290 +8.871e+00
0300 +9.051e+00
0310 +9.225e+00
0320 +9.411e+00
0330 +9.596e+00
0340 +9.763e+00
0350 +9.937e+00
0360 +1.011e+01
0370 +1.029e+01
0380 +1.049e+01
0390 +1.068e+01
0400 +1.087e+01
0410 +1.104e+01
0420 +1.123e+01
0430 +1.141e+01
0440 +1.160e+01
0450 +1.180e+01
0460 +1.201e+01
0470 +1.223e+01
0480 +1.246e+01
0490 +1.270e+01
0500 +1.292e+01
0510 +1.313e+01
0520 +1.336e+01
0530 +1.359e+01
0540 +1.384e+01
0550 +1.410e+01
0560 +1.442e+01
0570 +1.476e+01
0580 +1.517e+01
0590 +1.577e+01
0600 +1.623e+01
0610 +1.665e+01
0620 +1.716e+01
0630 +1.781e+01
0640 +1.868e+01
0650 +1.988e+01
