Ka           t0
0010 +2.989e+00
0020 +3.164e+00
0030 +3.318e+00
0040 +3.490e+00
0050 +3.641e+00
0060 +3.794e+00
0070 +3.951e+00
0080 +4.103e+00
0090 +4.274e+00
0100 +4.416e+00
0110 +4.570e+00
0120 +4.717e+00
0130 +4.879e+00
0140 +5.023e+00
0150 +5.166e+00
0160 +5.324e+00
0170 +5.466e+00
0180 +5.616e+00
0190 +5.773e+00
0200 +5.915e+00
0210 +6.071e+00
0220 +6.206e+00
0230 +6.348e+00
0240 +6.496e+00
0250 +6.641e+00
0260 +6.784e+00
0270 +6.925e+00
0280 +7.062e+00
0290 +7.204e+00
0300 +7.353e+00
0310 +7.498e+00
0320 +7.645e+00
0330 +7.791e+00
0340 +7.925e+00
0350 +8.064e+00
0360 +8.207e+00
0370 +8.349e+00
0380 +8.490e+00
0390 +8.648e+00
0400 +8.802e+00
0410 +8.958e+00
0420 +9.087e+00
0430 +9.226e+00
0440 +9.362e+00
0450 +9.518e+00
0460 +9.660e+00
0470 +9.817e+00
0480 +9.982e+00
0490 +1.014e+01
0500 +1.029e+01
0510 +1.048e+01
0520 +1.062e+01
0530 +1.077e+01
0540 +1.092e+01
0550 +1.106e+01
0560 +1.124e+01
0570 +1.139e+01
0580 +1.156e+01
0590 +1.174e+01
0600 +1.194e+01
0610 +1.211e+01
0620 +1.233e+01
0630 +1.255e+01
0640 +1.280e+01
0650 +1.307e+01
