Ka           t0         t1         t2         t3         t4         t5
0010 +1.943e+01 +1.656e+01 +1.816e+01 +1.932e+01 +2.033e+01 +2.122e+01
0020 +2.003e+01 +1.770e+01 +1.968e+01 +2.091e+01 +2.189e+01 +2.274e+01
0030 +2.017e+01 +1.809e+01 +2.032e+01 +2.173e+01 +2.291e+01 +2.404e+01
0040 +2.053e+01 +1.930e+01 +2.136e+01 +2.261e+01 +2.383e+01 +2.512e+01
0050 +2.073e+01 +2.011e+01 +2.217e+01 +2.375e+01 +2.501e+01 +2.656e+01
0060 +2.084e+01 +2.015e+01 +2.260e+01 +2.432e+01 +2.611e+01 +3.514e+01
0070 +2.116e+01 +2.055e+01 +2.325e+01 +2.517e+01 +2.967e+01 +4.277e+01
0080 +2.136e+01 +2.144e+01 +2.401e+01 +2.625e+01 +4.277e+01 +4.277e+01
0090 +2.137e+01 +2.207e+01 +2.475e+01 +3.625e+01 +4.277e+01 +4.277e+01
0100 +2.163e+01 +2.248e+01 +2.504e+01 +4.277e+01 +4.277e+01 +4.277e+01
0110 +2.190e+01 +2.251e+01 +2.555e+01 +4.277e+01 +4.277e+01 +4.277e+01
0120 +2.197e+01 +2.257e+01 +2.667e+01 +4.277e+01 +4.277e+01 +4.277e+01
0130 +2.218e+01 +2.297e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0140 +2.229e+01 +2.300e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0150 +2.235e+01 +2.364e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0160 +2.258e+01 +2.451e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0170 +2.267e+01 +2.520e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0180 +2.276e+01 +2.572e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0190 +2.286e+01 +2.785e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0200 +2.298e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0210 +2.330e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0220 +2.338e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0230 +2.339e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0240 +2.351e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0250 +2.361e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0260 +2.375e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0270 +2.397e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0280 +2.401e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0290 +2.409e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0300 +2.417e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0310 +2.428e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0320 +2.430e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0330 +2.451e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0340 +2.470e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0350 +2.481e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0360 +2.493e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0370 +2.500e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0380 +2.508e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0390 +2.529e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0400 +2.554e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0410 +2.561e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0420 +2.570e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0430 +2.581e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0440 +2.592e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0450 +2.609e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
0460 +2.641e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01 +4.277e+01
