Ka           t0         t1         t2         t3         t4         t5
0010 -1.771e+00 -2.805e+00 -3.175e+00 -3.277e+00 -3.337e+00 -3.343e+00
0050 -9.975e-01 -2.090e+00 -2.441e+00 -2.597e+00 -2.708e+00 -2.729e+00
0100 -4.958e-01 -1.515e+00 -1.927e+00 -2.117e+00 -2.163e+00 -2.221e+00
0150 -8.148e-02 -1.105e+00 -1.524e+00 -1.690e+00 -1.741e+00 -1.787e+00
0200 +2.941e-01 -7.539e-01 -1.139e+00 -1.312e+00 -1.364e+00 -1.371e+00
0250 +6.878e-01 -4.193e-01 -7.409e-01 -9.291e-01 -1.003e+00 -9.798e-01
0300 +9.487e-01 -4.586e-02 -4.439e-01 -5.370e-01 -6.039e-01 -6.098e-01
0350 +1.326e+00 +2.416e-01 -5.757e-02 -2.087e-01 -2.105e-01 -1.795e-01
0400 +1.581e+00 +6.114e-01 +2.580e-01 +2.061e-01 +1.705e-01 +2.273e-01
0450 +1.983e+00 +9.144e-01 +6.617e-01 +5.511e-01 +6.110e-01 +6.976e-01
0500 +2.224e+00 +1.317e+00 +1.002e+00 +1.028e+00 +1.042e+00 +1.159e+00
0520 +2.335e+00 +1.437e+00 +1.162e+00 +1.174e+00 +1.218e+00 +1.392e+00
0540 +2.496e+00 +1.556e+00 +1.371e+00 +1.323e+00 +1.420e+00 +1.660e+00
0560 +2.666e+00 +1.693e+00 +1.545e+00 +1.502e+00 +1.654e+00 +1.869e+00
0580 +2.872e+00 +1.850e+00 +1.672e+00 +1.680e+00 +1.905e+00 +2.088e+00
0600 +2.963e+00 +2.046e+00 +1.840e+00 +1.908e+00 +2.107e+00 +2.329e+00
0620 +3.090e+00 +2.249e+00 +2.008e+00 +2.183e+00 +2.320e+00 +2.613e+00
0640 +3.193e+00 +2.368e+00 +2.196e+00 +2.370e+00 +2.560e+00 +2.951e+00
0660 +3.334e+00 +2.516e+00 +2.433e+00 +2.570e+00 +2.840e+00 +3.374e+00
0680 +3.497e+00 +2.662e+00 +2.689e+00 +2.795e+00 +3.179e+00 +3.708e+00
0700 +3.690e+00 +2.828e+00 +2.870e+00 +3.047e+00 +3.615e+00 +4.097e+00
0720 +3.924e+00 +3.021e+00 +3.072e+00 +3.349e+00 +3.956e+00 +4.553e+00
0740 +4.052e+00 +3.274e+00 +3.288e+00 +3.742e+00 +4.328e+00 +5.135e+00
0760 +4.166e+00 +3.544e+00 +3.532e+00 +4.163e+00 +4.778e+00 +5.900e+00
0780 +4.322e+00 +3.732e+00 +3.827e+00 +4.522e+00 +5.357e+00 +7.077e+00
0800 +4.469e+00 +3.919e+00 +4.222e+00 +4.940e+00 +6.132e+00 +9.329e+00
0820 +4.641e+00 +4.125e+00 +4.735e+00 +5.470e+00 +7.352e+00 +1.431e+01
0840 +4.860e+00 +4.367e+00 +5.107e+00 +6.171e+00 +9.940e+00 +3.277e+01
0860 +5.159e+00 +4.656e+00 +5.561e+00 +7.257e+00 +3.277e+01 +3.277e+01
0880 +5.435e+00 +5.054e+00 +6.140e+00 +9.314e+00 +3.277e+01 +3.277e+01
0900 +5.614e+00 +5.763e+00 +6.962e+00 +3.277e+01 +3.277e+01 +3.277e+01
0920 +5.820e+00 +6.237e+00 +8.339e+00 +3.277e+01 +3.277e+01 +3.277e+01
0940 +6.029e+00 +6.875e+00 +1.188e+01 +3.277e+01 +3.277e+01 +3.277e+01
0960 +6.278e+00 +7.817e+00 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
0980 +6.592e+00 +9.567e+00 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
1000 +7.074e+00 +1.691e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
1020 +8.413e+00 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
1040 +1.454e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
1060 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
1080 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
1100 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01 +3.277e+01
