Ka           t0         t1         t2         t3         t4         t5
0010 19 20 22 23 24 27
0020 21 23 25 26 28 29
0030 23 25 27 28 30 32
0040 25 27 29 31 33 33
0050 26 28 30 32 34 36
0060 28 30 32 34 36 38
0070 29 32 34 36 38 40
0080 30 33 36 37 40 41
0090 32 34 37 39 41 43
0100 33 36 38 40 42 44
0110 34 37 39 42 44 46
0120 35 38 41 43 45 47
0130 37 40 42 44 46 48
0140 38 41 44 46 48 51
0150 39 42 45 47 49 51
0160 40 43 46 48 51 53
0170 41 45 48 49 52 54
0180 42 46 48 51 53 56
0182 42 46 49 51 54 56
0184 43 46 49 51 54 56
0186 43 46 49 51 54 56
0188 43 46 50 53 54 56
0190 43 47 50 53 54 56
0192 44 47 50 53 56 58
0194 44 48 50 53 56 00
0196 44 48 50 53 56 00
0198 45 48 51 53 00 00
0200 45 48 51 53 00 00
0202 45 48 51 00 00 00
0204 45 48 51 00 00 00
0206 00 48 00 00 00 00
0208 00 00 00 00 00 00
0210 00 00 00 00 00 00
0212 00 00 00 00 00 00
0214 00 00 00 00 00 00
