Ka           t0
0010 28
0020 26
0030 28
0040 28
0050 26
0060 28
0070 28
0080 27
0090 25
0100 25
0110 27
0120 25
0130 24
0140 24
0150 23
0160 24
0170 23
0180 22
0190 22
0200 22
0210 22
0220 22
0230 22
0240 21
0250 21
0260 21
0270 21
0280 20
0290 20
0300 20
0310 20
0320 20
0330 19
0340 19
0350 19
0360 19
0370 19
0380 19
0390 19
0400 18
0410 18
0420 18
0430 18
0440 18
0450 18
0460 18
0470 18
0480 18
0490 18
0500 17
0510 17
0520 17
0530 17
0540 17
0550 17
0560 17
0570 17
0580 17
0590 17
0600 16
0610 16
0620 16
0630 16
0640 16
0650 16
