Ka           t0
0010 28
0020 26
0030 26
0040 26
0050 25
0060 24
0070 24
0080 23
0090 22
0100 22
0110 22
0120 22
0130 22
0140 22
0150 21
0160 21
0170 21
0180 20
0190 20
0200 20
0210 20
0220 19
0230 19
0240 19
0250 19
0260 19
0270 18
0280 18
0290 18
0300 18
0310 18
0320 18
0330 17
0340 17
0350 17
0360 17
0370 17
0380 17
0390 17
0400 17
0410 17
0420 16
0430 16
0440 16
0450 16
0460 16
0470 16
0480 16
0490 16
0500 16
0510 15
0520 15
0530 15
0540 15
0550 15
0560 15
0570 15
0580 15
0590 15
0600 15
0610 15
0620 15
0630 15
0640 15
0650 14
