Ka           t0         t1         t2         t3         t4         t5
0010 11 18 32 45 59 72
0020 12 21 37 52 67 82
0030 12 22 40 57 73 88
0040 13 24 43 61 79 96
0050 13 27 46 66 85 100
0060 13 27 48 69 89 106
0070 14 28 51 73 92 00
0080 14 31 54 77 00 00
0090 14 33 58 80 00 00
0100 14 34 59 00 00 00
0110 14 34 60 00 00 00
0120 15 34 61 00 00 00
0130 15 35 00 00 00 00
0140 15 35 00 00 00 00
0150 15 37 00 00 00 00
0160 16 39 00 00 00 00
0170 16 42 00 00 00 00
0180 16 43 00 00 00 00
0190 16 43 00 00 00 00
0200 16 00 00 00 00 00
0210 17 00 00 00 00 00
0220 17 00 00 00 00 00
0230 17 00 00 00 00 00
0240 17 00 00 00 00 00
0250 17 00 00 00 00 00
0260 17 00 00 00 00 00
0270 18 00 00 00 00 00
0280 18 00 00 00 00 00
0290 18 00 00 00 00 00
0300 18 00 00 00 00 00
0310 18 00 00 00 00 00
0320 18 00 00 00 00 00
0330 18 00 00 00 00 00
0340 18 00 00 00 00 00
0350 19 00 00 00 00 00
0360 19 00 00 00 00 00
0370 19 00 00 00 00 00
0380 19 00 00 00 00 00
0390 19 00 00 00 00 00
0400 19 00 00 00 00 00
0410 20 00 00 00 00 00
0420 20 00 00 00 00 00
0430 20 00 00 00 00 00
0440 20 00 00 00 00 00
0450 20 00 00 00 00 00
0460 20 00 00 00 00 00
0470 21 00 00 00 00 00
0480 00 00 00 00 00 00
0490 00 00 00 00 00 00
0500 00 00 00 00 00 00
0510 00 00 00 00 00 00
0520 00 00 00 00 00 00
0530 00 00 00 00 00 00
0540 00 00 00 00 00 00
0550 00 00 00 00 00 00
