Ka           t0         t1         t2         t3         t4         t5
0010 10 12 13 14 16 17
0050 13 14 15 17 18 19
0100 14 16 17 18 19 21
0150 15 17 18 19 21 22
0200 16 17 19 20 21 23
0250 16 18 19 21 22 23
0300 17 19 20 21 23 24
0350 18 19 21 22 23 25
0400 18 20 21 23 24 25
0450 18 20 22 23 24 26
0500 19 21 22 24 25 26
0520 19 21 22 24 25 26
0540 19 21 22 24 25 27
0560 19 21 23 24 25 27
0580 20 21 23 24 26 27
0600 20 21 23 24 26 27
0620 20 22 23 25 26 27
0640 20 22 23 25 26 27
0660 20 22 23 25 26 28
0680 20 22 24 25 26 28
0700 20 22 24 25 27 28
0720 21 22 24 25 27 28
0740 21 22 24 25 27 28
0760 21 23 24 26 27 28
0780 21 23 24 26 27 28
0800 21 23 24 26 27 29
0820 21 23 25 26 27 29
0840 21 23 25 26 27 00
0860 21 23 25 26 00 00
0880 22 23 25 26 00 00
0900 22 24 25 00 00 00
0920 22 24 25 00 00 00
0940 22 24 25 00 00 00
0960 22 24 00 00 00 00
0980 22 24 00 00 00 00
1000 22 24 00 00 00 00
1020 22 00 00 00 00 00
1040 23 00 00 00 00 00
1060 00 00 00 00 00 00
1080 00 00 00 00 00 00
1100 00 00 00 00 00 00
