Ka  EBNO
1 7.7240
3 7.7145
5 7.7052
7 7.6963
9 7.6875
11 7.6790
13 7.6708
15 7.6628
17 7.6550
19 7.6475
21 7.6402
23 7.6331
25 7.6262
27 7.6196
29 7.6131
31 7.6069
33 7.6009
35 7.5950
37 7.5894
39 7.5839
41 7.5786
43 7.5735
45 7.5686
47 7.5638
49 7.5592
51 7.5548
53 7.5505
55 7.5463
57 7.5424
59 7.5385
61 7.5348
63 7.5313
65 7.5279
67 7.5246
69 7.5214
71 7.5184
73 7.5154
75 7.5126
77 7.5099
79 7.5074
81 7.5049
83 7.5025
85 7.5002
87 7.4981
89 7.4960
91 7.4940
93 7.4921
95 7.4902
97 7.4885
99 7.4868
101 7.4853
103 7.4837
105 7.4823
107 7.4809
109 7.4796
111 7.4784
113 7.4772
115 7.4760
117 7.4750
119 7.4740
121 7.4730
123 7.4721
125 7.4712
127 7.4704
129 7.4696
131 7.4688
133 7.4681
135 7.4675
137 7.4668
139 7.4662
141 7.4657
143 7.4651
145 7.4646
147 7.4642
149 7.4637
151 7.4633
153 7.4629
155 7.4625
157 7.4621
159 7.4618
161 7.4614
163 7.4611
165 7.4608
167 7.4605
169 7.4602
171 7.4600
173 7.4597
175 7.4595
177 7.4592
179 7.4590
181 7.4587
183 7.4585
185 7.4583
187 7.4581
189 7.4579
191 7.4577
193 7.4575
195 7.4572
197 7.4570
199 7.4568
201 7.4566
203 7.4564
205 7.4562
207 7.4560
209 7.4557
211 7.4555
213 7.4553
215 7.4550
217 7.4548
219 7.4545
221 7.4543
223 7.4540
225 7.4537
227 7.4535
229 7.4532
231 7.4529
233 7.4526
235 7.4523
237 7.4520
239 7.4516
241 7.4513
243 7.4510
245 7.4506
247 7.4502
249 7.4499
251 7.4495
253 7.4491
255 7.4487
257 7.4483
259 7.4479
261 7.4475
263 7.4470
265 7.4466
267 7.4461
269 7.4457
271 7.4452
273 7.4447
275 7.4442
277 7.4437
279 7.4432
281 7.4427
283 7.4422
285 7.4417
287 7.4411
289 7.4406
291 7.4400
293 7.4395
295 7.4389
297 7.4383
299 7.4377
301 7.4371
303 7.4366
305 7.4359
307 7.4353
309 7.4347
311 7.4341
313 7.4335
315 7.4328
317 7.4322
319 7.4316
321 7.4309
323 7.4303
325 7.4296
327 7.4289
329 7.4283
331 7.4276
333 7.4270
335 7.4263
337 7.4256
339 7.4249
341 7.4242
343 7.4236
345 7.4229
347 7.4222
349 7.4215
351 7.4208
353 7.4201
355 7.4195
357 7.4188
359 7.4181
361 7.4174
363 7.4167
365 7.4160
367 7.4153
369 7.4147
371 7.4140
373 7.4133
375 7.4126
377 7.4119
379 7.4113
381 7.4106
383 7.4099
385 7.4093
387 7.4086
389 7.4080
391 7.4073
393 7.4067
395 7.4060
397 7.4054
399 7.4047
401 7.4041
403 7.4035
405 7.4028
407 7.4022
409 7.4016
411 7.4010
413 7.4004
415 7.3998
417 7.3992
419 7.3986
421 7.3981
423 7.3975
425 7.3969
427 7.3964
429 7.3958
431 7.3952
