Ka EBNO
1 -8.3877
2 -8.4318
3 -8.4604
4 -8.4729
5 -8.4936
6 -8.5032
7 -8.5132
8 -8.5252
9 -8.5289
10 -8.5340
20 -8.5767
30 -8.6116
40 -8.6339
50 -8.6523
60 -8.6578
70 -8.6688
80 -8.6734
90 -8.6849
100 -8.6943
110 -8.6944
120 -8.7087
130 -8.7077
140 -8.7137
150 -8.7202
160 -8.7243
170 -8.7265
180 -8.7413
190 -8.7359
200 -8.7417
300 -8.7717
400 -8.7905
500 -8.8015
600 -8.8240
700 -8.8254
800 -8.8313
900 -8.8428
1000 -8.8522
1100 -8.8589
1200 -8.8669
1300 -8.8720
1400 -8.8740
1500 -8.8819
1600 -8.8803
1700 -8.8926
1800 -8.8808
1900 -8.8930
2000 -8.8961
2400 -8.9129
2800 -8.9222
3200 -8.9233
3600 -8.9423
3700 -8.9423
